label,search_string,status,file,line,source,stock,date,full_text
원형3-내탓,내가 멍청한 탓,FOUND,raw_youtube.csv,102,yt_comment,삼프로TV,1시간 전,"음모론: 맞는듯. 이번국장이 개인이 이끌어서 주식이 올랐고 외국인 리벨런싱(사실 최고치 익절 , 좋던 싫던) 익절 , 레버리지로 한국주식 자폭, 그와중에 외국인들 큰손은 레버활용 두번째 이득. 결국 구조적으로 단타가 아니면 믿고 기다린 사람은 갑자기 당하게 되어있는 구조. 방향성이 좋아서 믿고 기다리는 게 맞을 수도 있지만. 중간에 계속 가만히 있으면 당한다.  떨어지면 대응하라는 말...본인들거 다 챙기고 해준듯. 본인들만 아는 건 안가르쳐 주는 듯. 내가 모른탓,  결론은 내가 멍청한 탓, 내가 쉽게 생각한탓, 내가 남의 말을 믿은 탓,"
원형3-장초반,오늘 장초반에 팔았어야,FOUND,raw_details.csv,759,board_body,NAVER,2026-08-04T13:41:57,오늘 장초반에 팔았어야 됏나? ​ .. . . .. . . . . . 이슈는 많아서 갈거 같기는한데  그동안 뒤통수 맞은게 많아서 ​ 너무 불안하네요 ​ 그냥 오전장 초반에 먹고 나왔으면 어땠을까 하네요 ​ 다시 눌림오면 그때 진입하면 될거 같은데  이거뭐 알수가 없으니 ​ 그냥 참고 가볼랍니다. ​ 모두 성투하세요~! ​ ​
원형3-장초반,오늘 장초반에 팔았어야,FOUND,raw_texts.csv,537,board,NAVER,2026.08.04 13:41,오늘 장초반에 팔았어야 됏나?
원형4-풀미수,풀미수베팅,FOUND,raw_details.csv,653,board_comment,NAVER,2026-08-04T14:36:34+0900,어쩌긴 뭘 어쩌..  나처럼 풀미수베팅 하는 사람은 그거이 신경 쓰여 ㅋㅋㅋㅋㅋㅋ
원형4-강제청산,강제 청산당했다,FOUND,raw_details.csv,1483,board_body,한미반도체,2026-08-04T10:06:23,"지금 하락 추세 이유 [결론 = 정부의 무능] 투자 부적합 국가 전락 블룸버그는 정부 정책 실패의 가장 큰 피해자로 개인 투자자들을 꼽았다. 이들은 이른바 ‘코리아 디스카운트(한국 증시 저평가)’ 해소를 내건 이재명 대통령의 주식 개혁을 믿고 투자에 나섰다고 블룸버그는 짚었다. 그러나 외국인들이 시장을 빠져나가는 동안 코스피를 사들였던 개인들은 엄청난 손실을 안게 됐다. 가장 인기 있는 SK하이닉스 레버리지 ETF는 6월 고점 대비 84%나 폭락했다. 36만 개에 달하는 증권 계좌는 강제 청산당했다. 특히 강제 청산 계좌 가운데 62%는 35세 이하 젊은 층에 집중된 것으로 나타났다.국민연금의 일관성 없는 행보도 비판의 도마 위에 올랐다. 칼럼은 국민연금이 코스피 보유 물량 매도를 피하기 위해 국내 주식 투자 목표치를 임의로 상향 조정하면서, 시장 과열을 식히는 연기금 본연의 역할을 저버렸다고 지적했다. 과거 규정에 따라 행동하지 않음으로써 코스피 열풍을 부추기는 데 일조했다는 의미로 풀이된다."
원형4-몰빵,신용미수전재산몰빵,FOUND,raw_details.csv,1197,board_body,알테오젠,2026-08-04T13:14:31,신용미수전재산몰빵 집산다 상가자 패는보여졌다  패는보여졌다 바닥찍고 상승만 남았다
원형4-몰빵,신용미수전재산몰빵,FOUND,raw_texts.csv,827,board,알테오젠,2026.08.04 13:14,신용미수전재산몰빵 집산다 상가자 패는보여졌다 
PP-벼락거지,아빠! 우리는 왜 집이 없어요,FOUND,raw_details.csv,757,board_body,NAVER,2026-08-04T13:42:35,아빠! 우리는 왜 집이 없어요? 2026년에 반도체 불장때 옆집은 수익내서 집 샀다던데 아들아 아버지는 네이버에 쳐 물려있다가 반도체로 갈아탔는데 아직도 물려있단다 이놈아!
PP-벼락거지,아빠! 우리는 왜 집이 없어요,FOUND,raw_texts.csv,536,board,NAVER,2026.08.04 13:42,아빠! 우리는 왜 집이 없어요? 2026년에 반도체 불장때 옆집은 수익내서 집 샀다던데
PP-3억손실,3억 손실,FOUND,raw_news.csv,135,gnews,주식 FOMO,"Tue, 14 Jul 2026 07:00:00 GMT","“주식으로 3억 손실” 정신과 의사 “요즘 손님 많아, ‘포모’는 전치 4주” - 서울신문"
PP-3억손실,3억 손실,FOUND,raw_texts.csv,193,board,SK하이닉스,2026.08.04 14:17,3억 손실….
PP-26만원물림,26만원위에서 물렸으면,FOUND,raw_texts.csv,95,board,삼성전자,2026.08.04 14:16,26만원위에서 물렸으면 최소 6개월~1년고생하겠네..
PP-불장퍼랭이,불장에 혼자 퍼랭이,FOUND,raw_texts.csv,983,board,한미반도체,2026.08.04 09:56,불장에 혼자 퍼랭이ㅋㅋ
PP-지금이라도,지금이라도 늦지 않았다,FOUND,raw_details.csv,585,board_body,카카오,2026-08-04T11:36:17,지금이라도 늦지 않았다 네이버 사고 28만에 팔아라 ㅋㅋㅋㅋㅋ
PP-지금이라도,지금이라도 늦지 않았다,FOUND,raw_texts.csv,449,board,카카오,2026.08.04 11:36,지금이라도 늦지 않았다
PP-37층낙엽,37층 낙엽,FOUND,raw_details.csv,19,board_body,삼성전자,2026-08-04T14:36:27,언제오려나 37층 낙엽 떨어지기전에 오겠지 마음은 겨울 한복판 ~ㅎ
PP-반토막자기혐오,내가 왜 이따우껄 처다봤는지,FOUND,raw_details.csv,935,board_body,에코프로비엠,2026-08-03T23:00:51,무제 오늘 아침에 반토막까지 가든데.. 이런 막장 주식이 뭐라고  처다보고 기댈 하고 있든지 내 자신이 참... 밥 맛도 없고 살고싶은 생각도 없고 엘지나 에코나 그냥 다 망했으면 좋겠다. 내가 왜 이따우껄 처다봤는지 넘 후회되고 ... 막막하다. ​ 이런 개... ​
