날짜,평균 점수,평균 품질,평균 기간,평균 수면 필요량,평균 취침 시간,깨어있는 평균 시간
7월 29일 - 8월 4일,75,보통,6h 50분,8h 8분,10:43 PM,6:02 AM
7월 22일-28일,69,보통,5h 50분,8h 29분,2:26 AM,8:27 AM
7월 15일-21일,67,보통,6h 12분,7h 50분,5:58 AM,12:23 PM
7월 8일-14일,78,보통,8h 18분,7h 50분,10:48 PM,7:21 AM
7월 1일-7일,75,보통,6h 28분,8h 20분,11:39 PM,6:22 AM
6월 24일-30일,75,보통,6h 2분,8h 3분,2:45 AM,8:49 AM
6월 17일-23일,69,보통,6h 56분,7h 42분,11:56 PM,7:04 AM
6월 10일-16일,80,좋음,7h 19분,7h 58분,10:48 PM,6:11 AM
6월 3일-9일,77,보통,6h 57분,7h 50분,11:17 PM,6:16 AM
5월 27일 - 6월 2일,91,매우 좋음,10h 41분,7h 25분,9:27 PM,8:20 AM
5월 20일-26일,67,보통,6h 11분,8h 8분,12:59 AM,7:13 AM
5월 13일-19일,69,보통,6h 6분,7h 55분,2:10 AM,8:24 AM
5월 6일-12일,58,낮음,4h 38분,8h 23분,7:05 AM,11:55 AM
4월 29일 - 5월 5일,79,보통,6h 40분,8h 0분,12:39 AM,7:24 AM
4월 22일-28일,58,낮음,4h 24분,7h 56분,2:44 AM,7:21 AM
4월 15일-21일,75,보통,6h 36분,7h 38분,2:22 AM,9:04 AM
4월 8일-14일,72,보통,5h 48분,7h 52분,5:29 AM,11:19 AM
4월 1일-7일,93,매우 좋음,9h 45분,8h 10분,12:01 AM,9:50 AM
3월 25일-31일,66,보통,5h 52분,8h 38분,3:14 AM,9:12 AM
3월 18일-24일,74,보통,6h 59분,8h 0분,3:03 AM,10:14 AM
3월 11일-17일,68,보통,5h 52분,8h 0분,12:12 AM,6:18 AM
3월 4일-10일,72,보통,6h 42분,8h 24분,1:49 AM,9:04 AM
2월 25일 - 3월 3일,84,좋음,7h 40분,7h 36분,12:50 AM,8:40 AM
2월 18일-24일,68,보통,6h 8분,8h 0분,3:03 AM,9:15 AM
2월 11일-17일,79,보통,7h 52분,8h 5분,12:36 AM,8:37 AM
2월 4일-10일,88,좋음,9h 28분,7h 40분,11:07 PM,8:49 AM
1월 28일 - 2월 3일,61,보통,5h 28분,8h 5분,2:09 AM,7:48 AM
1월 21일-27일,84,좋음,7h 50분,8h 10분,11:19 PM,7:12 AM
1월 14일-20일,68,보통,5h 36분,7h 50분,1:49 AM,7:29 AM
1월 7일-13일,86,좋음,9h 35분,8h 20분,1:26 AM,11:20 AM
12월 31일, 2025 - 1월 6일, 2026,64,보통,5h 33분,7h 47분,4:05 AM,10:14 AM
12월 24일-30일, 2025,76,보통,8h 0분,7h 46분,1:16 AM,9:23 AM
12월 17일-23일, 2025,78,보통,6h 48분,8h 0분,2:29 AM,9:27 AM
12월 10일-16일, 2025,80,좋음,7h 37분,7h 30분,11:58 PM,7:53 AM
12월 3일-9일, 2025,67,보통,6h 55분,8h 10분,4:19 AM,11:37 AM
11월 26일 - 12월 2일, 2025,72,보통,6h 43분,8h 4분,5:51 AM,12:40 PM
11월 19일-25일, 2025,72,보통,7h 8분,8h 24분,1:29 AM,8:52 AM
11월 12일-18일, 2025,--,--,--,--,--,--
11월 5일-11일, 2025,75,보통,6h 52분,7h 33분,1:20 AM,8:27 AM
10월 29일 - 11월 4일, 2025,74,보통,6h 58분,7h 50분,2:57 AM,10:03 AM
10월 22일-28일, 2025,69,보통,7h 23분,8h 10분,2:26 AM,10:13 AM
10월 15일-21일, 2025,65,보통,6h 14분,8h 0분,3:47 AM,10:21 AM
10월 8일-14일, 2025,68,보통,7h 12분,8h 3분,1:02 AM,8:24 AM
10월 1일-7일, 2025,82,좋음,7h 53분,8h 7분,1:33 AM,9:29 AM
9월 24일-30일, 2025,53,낮음,4h 0분,8h 18분,3:37 AM,7:46 AM
9월 17일-23일, 2025,71,보통,6h 22분,8h 4분,4:19 AM,10:51 AM
9월 10일-16일, 2025,56,낮음,4h 34분,8h 12분,1:08 AM,6:06 AM
9월 3일-9일, 2025,68,보통,6h 17분,8h 9분,3:20 AM,9:44 AM
8월 27일 - 9월 2일, 2025,81,좋음,8h 9분,8h 2분,12:35 AM,9:00 AM
8월 20일-26일, 2025,87,좋음,7h 51분,8h 8분,11:32 PM,7:29 AM
8월 13일-19일, 2025,63,보통,5h 2분,8h 20분,1:43 AM,6:45 AM
8월 6일-12일, 2025,58,낮음,4h 49분,8h 20분,10:58 AM,4:14 PM
